id_osm,nom,latitude,longitude,type,operator,capacity,levels,source
3179129779,École Primaire Catholique,5.3088574,-3.9720215,school,Inconnu,,,OpenStreetMap
3183124796,EPP Anoumabo,5.3084629,-3.9773892,school,Inconnu,,,OpenStreetMap
3183124798,Institut Froebel,5.3113711,-3.9737254,school,Inconnu,,,OpenStreetMap
3191557677,École ivoirienne de bijouterie et des métiers annexes,5.2915465,-3.985815,school,Inconnu,,,OpenStreetMap
3191557679,École de Commerce et Gestion (ECG),5.2931151,-3.9860404,college,Inconnu,,,OpenStreetMap
3209388187,Cours Primaire Notre-Dame du Plateau,5.328032,-4.0223148,school,Inconnu,,,OpenStreetMap
3209887180,ESTTA,5.3254486,-4.0210703,college,Inconnu,,,OpenStreetMap
3209890018,Groupe École Superieur de Technologies et d'Administration,5.3254491,-4.0209628,college,Groupe École Superieur de Technologies et d'Administration (GESTA),,,OpenStreetMap
3210911331,College Safop,5.2866249,-3.9758672,college,Inconnu,,,OpenStreetMap
3210918910,École les sept nains,5.2870736,-3.9768113,college,Inconnu,,,OpenStreetMap
3252662006,EPV Guy Wroh,5.4379723,-4.0520783,school,Inconnu,,,OpenStreetMap
3252669877,EPV Christine,5.4380264,-4.0524508,school,Inconnu,,,OpenStreetMap
3282261352,Victorloba'd,5.4111167,-3.994632,school,Inconnu,,,OpenStreetMap
3282322597,École sans nom,5.4236617,-3.9918977,school,Inconnu,,,OpenStreetMap
3284931347,Assemblée de Dieu,5.4208635,-4.0115378,school,Inconnu,,,OpenStreetMap
3302594276,Les Oliviers,5.3586869,-3.990203,school,Groupe Scolaire Les Oliviers,,,OpenStreetMap
3302594277,Les Oliviers,5.3587254,-3.9901788,kindergarten,Groupe Scolaire Les Oliviers,,,OpenStreetMap
3310991357,Batidécor Créations et Formation,5.3685447,-3.9916168,college,Inconnu,,,OpenStreetMap
3356281410,Groupe Scolaire Genie 2000,5.3742021,-3.9359068,school,Inconnu,,,OpenStreetMap
3380878933,Institut Superieur Tertiaire et de Technologie Avancée (ISFOP) - Industriel,5.287071,-3.9719377,college,Groupe LOKO,,,OpenStreetMap
3395000993,EPP,5.4140389,-4.0124975,school,Inconnu,,,OpenStreetMap
3395000994,La Ribambelle,5.415521,-4.0165561,school,Inconnu,,,OpenStreetMap
3406198867,American Lady Beauty Institut (ALBI)-ISEPT-IPB,5.3590064,-3.9961754,college,Groupe Academique Booth,,,OpenStreetMap
3406198870,École Le Fleuron des Deux-Plateaux,5.3595913,-3.9949602,kindergarten,Inconnu,,,OpenStreetMap
3406198871,École Le Fleuron des Deux-Plateaux,5.3596315,-3.9949588,school,Inconnu,,,OpenStreetMap
3417338444,École Blanche Neige,5.3750684,-3.9997165,school,Inconnu,,,OpenStreetMap
3499729205,École sans nom,5.2551646,-3.996762,school,Inconnu,,,OpenStreetMap
3501986047,École sans nom,5.2635991,-3.9868457,school,Inconnu,,,OpenStreetMap
3502009701,École sans nom,5.2655091,-3.9853819,school,Inconnu,,,OpenStreetMap
3503972423,École sans nom,5.2604429,-3.9612381,school,Inconnu,,,OpenStreetMap
3503972566,École sans nom,5.2602238,-3.9604814,school,Inconnu,,,OpenStreetMap
3504088762,École primaire selmaire commissariat,5.2572759,-3.9602101,school,Inconnu,,,OpenStreetMap
3504091047,Legacy Institute,5.3222132,-4.018615,college,Inconnu,,,OpenStreetMap
3504850137,École sans nom,5.2504829,-3.9570369,school,Inconnu,,,OpenStreetMap
3504902701,École sans nom,5.2590415,-3.9675714,school,Inconnu,,,OpenStreetMap
3505248700,Groupe Scolaire Selmer,5.2568894,-3.969805,school,Inconnu,,,OpenStreetMap
3505270280,École sans nom,5.2563246,-3.9674902,school,Inconnu,,,OpenStreetMap
3558250245,Ecole Supérieure d'Interpretariat et de Traduction,5.3800521,-3.9883762,college,Inconnu,,,OpenStreetMap
3563743115,Groupe CERCO,5.3760563,-3.9931362,school,Inconnu,,,OpenStreetMap
3575293778,École Tinasso,5.3958768,-4.0119596,school,Inconnu,,,OpenStreetMap
3577237356,Groupe Scolaire Les petits Soleil,5.3222765,-4.0540371,school,Inconnu,,,OpenStreetMap
3647576535,Institution de la formation et d’éducation féminine,5.3431297,-4.0264168,school,Inconnu,,,OpenStreetMap
3784306933,Cour Secondaire Methodiste du Plateau,5.3300855,-4.0201543,school,Inconnu,,,OpenStreetMap
3860550674,EPP Groupe Nord,5.4245233,-4.0120897,school,Inconnu,,,OpenStreetMap
3860892595,EPV le Dialogue,5.4206759,-4.0143522,school,Inconnu,,,OpenStreetMap
3860909296,EPV la Réussite,5.4217977,-4.0137152,school,Inconnu,,,OpenStreetMap
3860909297,EPV le Baobab,5.4229658,-4.0120379,school,Inconnu,,,OpenStreetMap
3870718396,École sans nom,5.4312597,-4.0189376,school,Inconnu,,,OpenStreetMap
3931437122,Collège Saint Augustin,5.3233794,-4.055925,school,Inconnu,,,OpenStreetMap
3936374505,ASA Formation,5.3223513,-4.050953,college,Inconnu,,,OpenStreetMap
3950187296,Onyx Excellence,5.3557824,-4.0696234,college,Inconnu,,,OpenStreetMap
3953727653,Collège Voltaire laboratoire 1 et 2,5.302152,-4.0046604,school,Inconnu,,,OpenStreetMap
3974043660,XC International Excellence University,5.3570707,-3.9910064,college,Inconnu,,,OpenStreetMap
3995475497,École pilote,5.3037036,-3.9744107,school,Inconnu,,,OpenStreetMap
3995475503,Inefficace Marcory Remblais,5.3010532,-3.9732908,school,Inconnu,,,OpenStreetMap
3995475505,Institut des sciences appliqués et de technologie,5.2912055,-3.969599,college,Inconnu,,,OpenStreetMap
4000853784,Petit seminaire Saint Augustin de Bingerville,5.3566168,-3.8853486,school,Inconnu,,,OpenStreetMap
4002252631,Institut Supérieur des Carrières Commerciales (ISCC),5.3607639,-3.9894753,college,Inconnu,,,OpenStreetMap
4002254749,École Mary Poppins,5.3602531,-3.9899315,kindergarten,Inconnu,,,OpenStreetMap
4002476470,École Primaire Sicogi,5.337817,-4.0779975,school,Inconnu,,,OpenStreetMap
4002514238,École Sicogi,5.3407551,-4.077628,school,Ministere de l'Education Nationale,,,OpenStreetMap
4002514251,École Primaire BAD Sogefiha,5.3377452,-4.0813318,school,Ministere de l'Education Nationale,,,OpenStreetMap
4002541750,École William-Ponty,5.3441807,-4.0727146,school,Inconnu,,,OpenStreetMap
4016931964,Institut Supérieur des Carrières Commerciales (ISCC),5.2996855,-3.9974827,college,Inconnu,,,OpenStreetMap
4058031589,Groupe Scolaire Port 2,5.2906658,-4.0069843,school,Inconnu,,,OpenStreetMap
4086612522,Institut Soma Samake,5.3507632,-4.0177458,school,Inconnu,,,OpenStreetMap
4246957379,Konaté Fret,5.4275018,-4.0166297,school,Inconnu,,,OpenStreetMap
4247031513,École Primaire SOS Herman Gmeiner,5.4312538,-4.0157999,school,Inconnu,,,OpenStreetMap
4247031514,Epp Habitat,5.4321848,-4.0159182,school,Inconnu,,,OpenStreetMap
4247031515,Groupe Scolaire Les Pingouins,5.4357543,-4.0190313,school,Inconnu,,,OpenStreetMap
4247045380,Institut Adam Marshall,5.4369238,-4.020145,college,Inconnu,,,OpenStreetMap
4247063019,Groupe Scolaire Siporex 1,5.3541329,-4.0756511,school,Inconnu,,,OpenStreetMap
4249740365,Epp Fairmont,5.3602979,-4.0364457,school,Inconnu,,,OpenStreetMap
4258333103,EPP Port-Bouet 2 Plateau,5.3474656,-4.0897036,school,Inconnu,,,OpenStreetMap
4258348301,Collége privé l'Abondance,5.3477497,-4.0871964,school,Inconnu,,,OpenStreetMap
4264707861,Collège Saint François,5.3249747,-4.0650945,school,Inconnu,,,OpenStreetMap
4295482537,College Carnot,5.320967,-4.1047065,school,Inconnu,,,OpenStreetMap
